ATK sifra;Oznaka;Nezasticeno ime lijeka;DDD i jed mj;Cijena u kn za DDD;Cijena u kn za DDD s PDV-om;Nacin primjene;Nositelj odobrenja;Proizvodac;Zasticeno ime lijeka;Oblik, jacina i pakiranje lijeka;Cijena u kn za jed obl;Cijena u kn za jed obl s PDV-om;Cijena u kn za orig pak;Cijena u kn za orig pak s PDV-om;R;Oznaka indikacije;Oznaka smjernice;Sifra grupe;Grupa;Sifra podgrupe;Podgrupa;Lista
J02AX04 072;DS;kaspofungin;50 mg;2363.69;2481.88;P;Alvogen Malta Operations (ROW) Ltd.;Pharmaten S.A.  Pharmadox Healthcare Ltd;Dalvocans;praš. za konc. za otop. za inf., boč. stakl. 1x70 mg;3309.17;3474.63;3309.17;3474.63;;NJ201;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J02;Lijekovi za liječenje sustavnih gljivičnih infekcija;osnovna
J02AX04 082;DS;kaspofungin;50 mg;2127.32;2233.69;P;Accord Healthcare Ltd;Accord Healthcare Limited, Xellia Pharmaceuticals ApS;Caspofungin Accord;praš. za konc. za otop. za inf., boč. 1x70 mg;2978.25;3127.16;2978.25;3127.16;;NJ201;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J02;Lijekovi za liječenje sustavnih gljivičnih infekcija;osnovna
J02AX05 061;DS;mikafungin;0.1 g;3609.68;3790.16;P;Astellas Pharma Europe B.V.;Astellas Ireland Co. Ltd;Mycamine;praš. za otop. za inf., boč. stakl. 1x50 mg;1804.84;1895.08;1804.84;1895.08;;NJ201;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J02;Lijekovi za liječenje sustavnih gljivičnih infekcija;osnovna
J02AX05 062;DS;mikafungin;0.1 g;2852.53;2995.16;P;Astellas Pharma Europe B.V.;Astellas Ireland Co. Ltd;Mycamine;praš. za otop. za inf., boč. stakl. 1x100 mg;2852.53;2995.16;2852.53;2995.16;;NJ201;;;;;;osnovna
J02AX06 061;DS;anidulafungin;0.1 g;2853.25;2995.91;P;Pfizer Ltd.;Pfizer;Ecalta;praš. i otap. za konc. za otop. za inf., boč. 1×100 mg/30 ml;2853.25;2995.91;2853.25;2995.91;;NJ201;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J02;Lijekovi za liječenje sustavnih gljivičnih infekcija;osnovna
J04AA01 151;DS;aminosalicilna kiselina (PAS);12 g;;;O;;;;;;;;;;NJ401;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AB01 151;DS;cikloserin;0.75 g;;;O;;;;;;;;;;NJ401;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AB02 051;DS;rifampicin;0.6 g;;;P;;;;;;;;;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AB02 101;;rifampicin;0.6 g;5.63;5.91;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Rimactan;caps. 16x300 mg;2.82;2.96;45.05;47.3;R;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AB02 102;;rifampicin;0.6 g;5.63;5.91;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Rimactan;caps. 100x300 mg;2.82;2.96;281.55;295.63;R;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AB04 151;DS;rifabutin;0.15 g;;;O;;;;;;;;;;NJ401;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AC51 052;DS;izoniazid + piridoksin;;;;P;;;;;;;;;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AC51 151;;izoniazid + piridoksin;;;;O;;;;;;;;;R;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AD01 151;DS;protionamid;0.75 g;;;O;;;;;;;;;;NJ401;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AK01 131;;pirazinamid;1.5 g;5.53;5.81;O;KRKA-FARMA d.o.o.;Krka d.d.;Pyrazinamid;tbl. 100x500 mg;1.84;1.94;184.33;193.55;R;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AK02 051;DS;etambutol;1.2 g;;;P;;;;;;;;;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J04AK02 151;;etambutol;1.2 g;;;O;;;;;;;;;R;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J04;Lijekovi za liječenje infekcija mikobakterijama;osnovna
J05AB01 032;DS;aciklovir;4 g;882.05;926.15;P;KRKA-FARMA d.o.o.;Krka d.d.;Virolex;boč. inf. 5x250 mg;55.13;57.89;275.64;289.42;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB01 113;;aciklovir;4 g;37.7;39.59;O;Belupo d.d.;Belupo;Herplexim;tbl. film obl. 35x400 mg;3.77;3.96;131.95;138.55;R;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB01 131;;aciklovir;4 g;57.34;60.21;O;KRKA-FARMA d.o.o.;Krka d.d.;Virolex;tbl. film obl. 20x200 mg;2.87;3.01;57.34;60.21;R;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB04 101;DS;ribavirin;1 g;57.65;60.53;O;Teva B.V.;Teva Pharmaceutical Works Private Limited Company;Ribavirin Teva Pharma B.V.;tbl. film obl. 84x200 mg;11.53;12.11;968.44;1016.86;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB04 102;DS;ribavirin;1 g;57.64;60.53;O;Teva B.V.;Teva Pharmaceutical Works Private Limited Company;Ribavirin Teva Pharma B.V.;tbl. film obl. 168x200 mg;11.53;12.11;1936.87;2033.71;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB04 161;DS;ribavirin;1 g;77.57;81.45;O;Merck Sharp & Dohme Ltd.;Schering- Plough;Rebetol;caps. tvrda 168x200 mg;15.51;16.29;2606.24;2736.55;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB04 171;DS;ribavirin;1 g;87.5;91.88;O;Roche d.o.o.;Roche;Copegus;tbl. film obl. 42x200 mg;17.5;18.38;735;771.75;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB06 071;KL;ganciklovir;0.5 g;225.94;237.24;P;Roche d.o.o.;Roche;Cymevene;boč. 1x500 mg/10 ml;225.94;237.24;225.94;237.24;;;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB14 101;;valganciklovir;0.9 g;167.67;176.05;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o.;Valganciklovir Pliva;tbl. film obl. 60x450 mg;83.83;88.03;5030.08;5281.58;R;;RJ51;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB14 131;;valganciklovir;0.9 g;135.81;142.6;O;Cipla(EU) limited;Cipla (EU) Limited, Cipla Europe NV;Valganciklovir Cipla;tbl. film obl. 60x450 mg;67.91;71.3;4074.36;4278.08;R;;RJ51;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB14 171;;valganciklovir;0.9 g;167.67;176.05;O;Roche d.o.o.;Roche;Valcyte;tbl. film obl. 60x450 mg;83.83;88.03;5030.08;5281.58;R;;RJ51;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB14 181;;valganciklovir;0.9 g;167.67;176.05;O;Alvogen IPCo S.ar.l.;Pharmadox Healthcare Ltd., SC Labormed - Pharma SA;Alvanocyt;tbl. film obl. 60x450 mg;83.83;88.03;5030.08;5281.58;R;;RJ51;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AB14 182;;valganciklovir;0.9 g;150.9;158.45;O;STADA d.o.o.;Stada Arzneimittel AG, Pharmadox Healthcare Ltd, Centrafarm Services BV;Valganciklovir Stada;tbl. film obl. 60x450 mg;75.45;79.22;4527.07;4753.42;R;;RJ51;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AE03 151;DS;ritonavir;1.2 g;;;O;;;;;;;;;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AE03 251;DS;ritonavir;1.2 g;;;O;;;;;;;;;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AE10 101;DS;darunavir;1.2 g;90.63;95.16;O;PLIVA HRVATSKA d.o.o.;Teva Operations Poland Sp. z o.o.;Darunavir Pliva;tbl. film obl. 30x800 mg;60.42;63.44;1812.65;1903.28;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AE10 121;DS;darunavir;1.2 g;100.7;105.74;O;Sandoz d.o.o.;Lek Pharmaceuticals d.d., Salutas Pharma GmbH;Darunavir Sandoz;tbl. film obl. 30x800 mg;67.14;70.49;2014.05;2114.75;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AE10 162;DS;darunavir;1.2 g;152.56;160.18;O;Janssen-Cilag International N.V.;Janssen;Prezista;tbl. film obl. 30x800 mg;101.7;106.79;3051.10;3203.66;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AE10 163;DS;darunavir;1.2 g;154.99;162.74;O;Janssen-Cilag International N.V.;Janssen;Prezista;tbl. film obl. 60x600 mg;77.5;81.37;4649.80;4882.29;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AE10 171;DS;darunavir;1.2 g;111.89;117.49;O;Mylan S.A.S;Mylan Hungary Kft  McDermott Laboratories Limited T/A Gerard Laboratories;Darunavir Mylan;tbl. film obl. 30x800 mg;74.59;78.32;2237.83;2349.72;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AE14 161;DS;simeprevir;;;;O;Janssen-Cilag International N.V.;Janssen;Olysio;caps. tvrda 28x150 mg;1998.33;2098.25;55953.25;58750.91;;NJ711;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF01 051;KL;zidovudin;0.6 g;;;P;;;;;;;;;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF01 262;DS;zidovudin;0.6 g;32.47;34.09;O;GlaxoSmithKline d.o.o.;GlaxoWellcome Operations, GlaxoSmithKline Pharmaceuticals S.A.;Retrovir;sirup 1x200 ml (50 mg/5 ml);108.23;113.64;108.23;113.64;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF05 161;DS;lamivudin;0.3 g;19.2;20.16;O;ViiV Healthcare UK Limited;GlaxoWellcome;Epivir;tbl. 60x150 mg;9.6;10.08;576;604.8;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF05 163;DS;lamivudin;0.3 g;45.04;47.29;O;Glaxo Group Limited;GlaxoWellcome Operations UK Limited, GlaxoSmithKline Pharmaceuticals S.A.;Zeffix;tbl. 28x100 mg;14.48;15.2;405.35;425.62;;NJ503;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF05 262;DS;lamivudin;0.3 g;22.67;23.8;O;ViiV Healthcare UK Limited;GlaxoWellcome;Epivir;otop. za oral. primj. 240 ml (10 mg/1 ml);181.33;190.4;181.33;190.4;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF06 161;DS;abakavir;0.6 g;55.87;58.66;O;ViiV Healthcare UK Limited;Glaxo Operations UK Ltd., GlaxoSmithKline Pharmaceuticals S.A.;Ziagen;tbl. film obl. 60x300 mg;27.93;29.33;1676.00;1759.80;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF07 101;DS;tenofovir;02.5 g;47.19;49.55;O;PLIVA HRVATSKA d.o.o.;Teva Pharmaceutical Works, Teva UK Ltd., Pharmachemie B.V., Teva Operations, Merckle GmbH, Teva Pharma B.V.;Tenofovirdizoproksil Pliva;tbl. film obl. 30x245 mg;47.19;49.55;1415.60;1486.38;;NJ504;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF07 131;DS;tenofovir;02.5 g;34.4;36.12;O;Sandoz d.o.o.;Salutas Pharma GmbH, Pharmadox Healthcare Ltd.;Tenofovirdizoproksil Sandoz;tbl. film obl. 30x245 mg;34.4;36.12;1031.98;1083.58;;NJ504;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF07 161;DS;tenofovir;02.5 g;65.3;68.57;O;Gilead Sciences International Limited;Nycomed, Gilead;Viread;tbl. film obl. 30x245 mg;65.3;68.57;1959.00;2056.95;;NJ504;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF07 171;DS;tenofovir;02.5 g;42.47;44.59;O;ALPHA-MEDICAL d.o.o.;Remedica Ltd.;Tenofovirdizoproksil Alpha-Medical;tbl. film obl. 30x245 mg;42.47;44.59;1274.03;1337.73;;NJ504;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF07 181;DS;tenofovir;02.5 g;38.22;40.13;O;Mylan S.A.S;McDermott Laboratories Limited, Mylan Hungary Kft;Tenofovirdizoproksil Mylan;tbl. film obl. 30x245 mg;38.22;40.13;1146.64;1203.97;;NJ504;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF10 171;DS;entekavir;0.5 mg;40.96;43.01;O;Mylan S.A.S;Mylan Hungary Kft., McDermott Laboratories Limited trading as Gerard Laboratories;Entekavir Mylan;tbl. film obl. 30x0.5 mg;40.96;43.01;1228.90;1290.35;;NJ510;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF10 172;DS;entekavir;0.5 mg;20.48;21.51;O;Mylan S.A.S;Mylan Hungary Kft., McDermott Laboratories Limited trading as Gerard Laboratories;Entekavir Mylan;tbl. film obl. 30x1 mg;40.96;43.01;1228.90;1290.35;;NJ510;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AF11 161;DS;telbivudin;0.6 g;102.84;107.98;O;Novartis Europharm Limited;Novartis Pharma Stein AG;Sebivo;tbl. film obl. 28x600 mg;102.84;107.98;2879.43;3023.40;;NJ505;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AG01 161;DS;nevirapin;0.4 g;23.8;24.99;O;ALPHA-MEDICAL d.o.o.;Pharmadox Healthcare Ltd.;Neviran;tbl. 60x200 mg;11.9;12.5;714;749.7;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AG01 171;DS;nevirapin;0.4 g;25.92;27.22;O;Boehringer Ingelheim International GmbH;Boehringer Ingelheim;Viramune;tbl. 60x200 mg;12.96;13.61;777.6;816.48;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AG03 101;DS;efavirenz;0.6 g;37.87;39.77;O;Teva B.V.;Teva Pharmaceutical Works Private Limited Company;Efavirenz Teva;tbl. film obl. 30x600 mg;37.87;39.77;1136.20;1193.01;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AG03 171;DS;efavirenz;0.6 g;37.87;39.77;O;ALPHA-MEDICAL d.o.o.;Pharmadox Healthcare Ltd.;Efavirenz Alpha-Medical;tbl. film obl. 30x600 mg;37.87;39.77;1136.20;1193.01;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AH01 771;DS;zanamivir;20 mg;23.64;24.82;I;GlaxoSmithKline d.o.o.;Glaxo Wellcome Production;Relenza;praš. za inhal. 20x5 mg (5 rotadisk blist. po 4 doze +diskhaler);5.91;6.21;118.15;124.06;;NJ506;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AH02 161;DS;oseltamivir;0.15 g;28.92;30.36;O;Roche Registration Limited;Roche;Tamiflu;caps. 10x75 mg;14.46;15.18;144.58;151.81;;NJ506;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AH02 163;DS;oseltamivir;0.15 g;36.18;37.99;O;Roche Registration Limited;Roche;Tamiflu;caps. 10x30 mg;7.24;7.6;72.36;75.98;;NJ506;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AH02 164;DS;oseltamivir;0.15 g;33.17;34.83;O;Roche Registration Limited;Roche;Tamiflu;caps. 10x45 mg;9.95;10.45;99.5;104.48;;NJ506;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AH02 362;DS;oseltamivir;0.15 g;34.75;36.49;O;Roche Registration Limited;Roche;Tamiflu;praš. za oral. susp. 1x30 g/52 ml (12 mg/ml);144.58;151.81;144.58;151.81;;NJ506;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AP57 161;DS;glekaprevir + pibrentasvir;;;;O;AbbVie Ltd;Abbvie Deutschland GmBH & Co. KG;Maviret;tbl. film obl. 84x(100 mg+40 mg);1249.68;1312.16;104973.09;110221.74;;NJ711;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR01 101;DS;lamivudin + zidovudin;2 tbl.;0.27;0.28;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o;Lamonian;tbl. film obl. 60x(150 mg +300 mg);19.91;20.91;1194.60;1254.33;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR01 161;DS;lamivudin + zidovudin;2 tbl.;0.27;0.28;O;ViiV Healthcare UK Limited;GlaxoWellcome Operations, GlaxoSmithKline Pharmaceuticals S.A.;Combivir;tbl. 60x(150 mg +300 mg);19.91;20.91;1194.60;1254.33;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR01 171;DS;lamivudin + zidovudin;;0.27;0.28;O;ALPHA-MEDICAL d.o.o.;Pharmadox Healthcare Ltd.;Lamivudin/Zidovudin Alpha Medical;tbl. film obl. 60x(150 mg +300 mg);19.91;20.91;1194.60;1254.33;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR02 001;DS;abakavir + lamivudin;;;;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o., Teva Pharma B.V., Merckle GmbH;Abakavir/lamivudin Pliva;tbl. film obl. 30x(600 mg+300 mg);60.66;63.69;1819.66;1910.64;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR02 121;DS;abakavir + lamivudin;;;;O;Sandoz d.o.o.;Lupin (Europe) Ltd;Abakavir/lamivudin Sandoz;tbl. film obl. 30x(600 mg+300 mg);54.59;57.32;1637.69;1719.57;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR02 161;DS;abakavir + lamivudin;;;;O;ViiV Healthcare UK Limited;Glaxo Operations;Kivexa;tbl. film obl. 30x(600 mg +300 mg);86.65;90.98;2599.51;2729.49;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR02 171;DS;abakavir + lamivudin;;;;O;ALPHA-MEDICAL d.o.o.;Remedica Ltd.;Abakavir/Lamivudin Alpha-Medical;tbl. film obl. 30x(600 mg+300 mg);49.13;51.59;1473.92;1547.62;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR03 101;DS;emtricitabin + tenofovir;;;;O;PLIVA HRVATSKA d.o.o.;Pliva Hrvatska d.o.o., Teva Operations Poland Sp. z o.o.;Emtricitabin/tenofovirdizoproksil Pliva;tbl. film obl. 30x(200 mg +245 mg);80.95;85;2428.53;2549.96;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR03 121;DS;emtricitabin + tenofovir;;;;O;Krka, Tovarna zdravil d.d.;Krka d.d.;Emtricitabine/Tenofovir disoproxil Krka;tbl. film obl. 30x(200 mg +245 mg);59.01;61.96;1770.39;1858.91;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR03 122;DS;emtricitabin + tenofovir;;;;O;Sandoz d.o.o.;Pharmadox Healthcare Ltd.;Emtricitabin/Tenofovirdizoproksil Sandoz;tbl. film obl. 30x(200 mg+245 mg);53.11;55.77;1593.35;1673.02;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR03 161;DS;emtricitabin + tenofovir;;109.39;114.86;O;Gilead Sciences International Limited;Gilead;Truvada;tbl. film obl. 30x(200 mg +245 mg);109.39;114.86;3281.60;3445.68;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR03 171;DS;emtricitabin + tenofovir;;;;O;ALPHA-MEDICAL d.o.o.;Remedica Ltd.;Emtricitabin/tenofovirdizoproksil Alpha-Medical;tbl. film obl. 30x(200 mg +245 mg);65.57;68.85;1967.10;2065.46;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR03 181;DS;emtricitabin + tenofovir;;;;O;Mylan S.A.S;McDermott Laboratories Limited, Medis International a.s.;Emtricitabin/tenofovirdizoproksil Mylan;tbl. film obl. 30x(200 mg +245 mg);72.86;76.5;2185.68;2294.96;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
J05AR06 171;KL;efavirenz + emtricitabin + tenofovir dizoproksil;;;;O;Mylan S.A.S;Mylan Hungary Kft, McDermott Laboratories Limited t/a Gerard Laboratories t/a Mylan Dublin;Efavirenz/emtricitabin/tenofovirdizoproksil Mylan;tbl. film obl. 30 x (600 mg + 200 mg + 245 mg);81.88;85.98;2456.46;2579.28;;NJ501;;J;Lijekovi za liječenje sustavnih infekcija (izuzev infekcija uzrokovanih parazitima);J05;Lijekovi za liječenje sustavnih virusnih infekcija;osnovna
